Group_ID,Dyad_ID,IndividualA_ID,IndividualB_ID,Year,DSI,RValue_Dyad,KinshipCategory_Dyad,AgeDifference_years_Dyad,DominanceRank_IndividualA,DominanceRank_IndB,Centrality_IndividualA,Centrality_IndividualB,PresenceMaleInfant_IndividualA,PresenceFemaleInfant_IndividualA,PresenceMaleInfant_IndividualB,PresenceFemaleInfant_IndividualB
3,27,10,4,2011,2.343,0.000,maternal non-kin,15.600,1.000,0.667,0.941,0.955,0,1,0,0
3,28,19,4,2010,0.776,0.328,paternal sib,0.400,0.000,0.429,0.896,0.991,0,0,0,0
3,28,19,4,2011,0.754,0.328,paternal sib,0.400,0.000,0.667,0.837,0.955,0,0,0,0
3,29,22,4,2010,0.423,0.003,maternal non-kin,1.500,0.286,0.429,0.754,0.991,1,0,0,0
3,29,22,4,2011,0.929,0.003,maternal non-kin,1.500,0.167,0.667,0.828,0.955,0,0,0,0
3,30,25,4,2010,0.359,0.005,maternal non-kin,8.700,0.714,0.429,0.812,0.991,1,0,0,0
3,30,25,4,2011,0.696,0.005,maternal non-kin,8.700,0.500,0.667,0.830,0.955,0,0,0,0
3,31,31,4,2010,1.381,0.090,paternal sib,0.000,0.143,0.429,0.817,0.991,0,0,0,0
2,32,9,5,2009,0.000,0.068,maternal non-kin,4.300,0.300,0.800,0.824,0.942,0,1,0,0
2,32,9,5,2010,0.000,0.068,maternal non-kin,4.300,0.333,0.889,0.760,0.917,0,0,0,0
2,32,9,5,2011,0.054,0.068,maternal non-kin,4.300,0.333,0.889,0.800,0.963,0,0,0,0
2,33,12,5,2009,0.150,0.091,maternal non-kin,2.100,0.000,0.800,0.894,0.942,1,0,0,0
2,33,12,5,2010,0.969,0.091,maternal non-kin,2.100,0.000,0.889,0.774,0.917,0,0,0,0
2,33,12,5,2011,0.510,0.091,maternal non-kin,2.100,0.000,0.889,0.921,0.963,0,0,0,0
2,34,13,5,2009,1.731,0.471,mother-offspring,7.100,1.000,0.800,0.959,0.942,0,0,0,0
2,34,13,5,2010,7.443,0.471,mother-offspring,7.100,1.000,0.889,0.939,0.917,0,0,0,0
2,34,13,5,2011,4.730,0.471,mother-offspring,7.100,1.000,0.889,0.969,0.963,0,0,0,0
2,35,14,5,2009,1.046,0.105,maternal non-kin,11.100,0.500,0.800,0.929,0.942,0,0,0,0
2,35,14,5,2010,1.468,0.105,maternal non-kin,11.100,0.444,0.889,0.800,0.917,0,0,0,0
2,35,14,5,2011,1.368,0.105,maternal non-kin,11.100,0.556,0.889,0.917,0.963,0,0,0,0
2,36,16,5,2009,0.823,0.048,maternal non-kin,17.100,0.600,0.800,0.929,0.942,1,0,0,0
2,36,16,5,2010,0.414,0.048,maternal non-kin,17.100,0.556,0.889,0.711,0.917,0,0,0,0
2,36,16,5,2011,1.665,0.048,maternal non-kin,17.100,0.667,0.889,0.834,0.963,1,0,0,0
2,37,17,5,2009,0.000,0.099,maternal non-kin,9.100,0.200,0.800,0.818,0.942,0,0,0,0
2,37,17,5,2010,0.912,0.099,maternal non-kin,9.100,0.222,0.889,0.830,0.917,1,0,0,0
2,37,17,5,2011,0.456,0.099,maternal non-kin,9.100,0.222,0.889,0.851,0.963,0,0,0,0
2,38,20,5,2009,1.042,0.000,maternal non-kin,1.000,0.100,0.800,0.844,0.942,1,0,0,0
2,38,20,5,2010,0.212,0.000,maternal non-kin,1.000,0.111,0.889,0.822,0.917,1,0,0,0
2,38,20,5,2011,0.538,0.000,maternal non-kin,1.000,0.111,0.889,0.921,0.963,0,0,0,0
2,39,21,5,2009,0.421,0.000,paternal sib,4.600,0.700,0.800,0.915,0.942,0,0,0,0
2,39,21,5,2010,1.382,0.000,paternal sib,4.600,0.778,0.889,0.889,0.917,0,0,0,0
2,39,21,5,2011,2.606,0.000,paternal sib,4.600,0.778,0.889,0.950,0.963,0,1,0,0
2,40,23,5,2009,2.926,0.161,paternal sib,3.000,0.400,0.800,0.789,0.942,0,1,0,0
2,40,23,5,2010,1.736,0.161,paternal sib,3.000,0.667,0.889,0.900,0.917,0,1,0,0
2,40,23,5,2011,0.455,0.161,paternal sib,3.000,0.444,0.889,0.911,0.963,0,0,0,0
3,41,7,6,2005,0.290,0.056,maternal non-kin,8.200,0.500,0.250,NA,NA,0,1,0,0
3,41,7,6,2006,0.221,0.056,maternal non-kin,8.200,0.750,0.000,NA,NA,0,1,0,0
3,41,7,6,2007,1.347,0.056,maternal non-kin,8.200,0.750,0.000,NA,NA,0,1,0,0
3,41,7,6,2008,1.083,0.056,maternal non-kin,8.200,0.750,0.000,NA,NA,0,1,1,0
3,41,7,6,2009,0.364,0.056,maternal non-kin,8.200,0.800,0.400,0.903,0.712,0,1,0,0
3,41,7,6,2010,1.170,0.056,maternal non-kin,8.200,0.857,0.571,0.898,0.868,0,1,0,1
3,41,7,6,2011,0.931,0.056,maternal non-kin,8.200,0.833,0.333,0.928,0.875,0,0,0,1
3,42,10,6,2005,0.349,0.015,maternal non-kin,10.300,1.000,0.250,NA,NA,1,0,0,0
3,42,10,6,2006,0.511,0.015,maternal non-kin,10.300,1.000,0.000,NA,NA,0,1,0,0
3,42,10,6,2007,1.072,0.015,maternal non-kin,10.300,1.000,0.000,NA,NA,0,1,0,0
3,42,10,6,2008,1.255,0.015,maternal non-kin,10.300,1.000,0.000,NA,NA,0,1,1,0
3,42,10,6,2009,0.751,0.015,maternal non-kin,10.300,1.000,0.400,0.891,0.712,0,1,0,0
3,42,10,6,2010,2.014,0.015,maternal non-kin,10.300,1.000,0.571,0.929,0.868,0,1,0,1
3,42,10,6,2011,0.860,0.015,maternal non-kin,10.300,1.000,0.333,0.941,0.875,0,1,0,1
3,43,19,6,2010,1.725,0.154,maternal non-kin,5.700,0.000,0.571,0.896,0.868,0,0,0,1
3,43,19,6,2011,0.837,0.154,maternal non-kin,5.700,0.000,0.333,0.837,0.875,0,0,0,1
3,44,22,6,2009,0.190,0.500,maternal sib,3.700,0.000,0.400,0.851,0.712,1,0,0,0
3,44,22,6,2010,0.543,0.500,maternal sib,3.700,0.286,0.571,0.754,0.868,1,0,0,1
3,44,22,6,2011,1.052,0.500,maternal sib,3.700,0.167,0.333,0.828,0.875,0,0,0,1
3,45,25,6,2005,0.162,0.325,maternal sib,3.400,0.750,0.250,NA,NA,0,1,0,0
3,45,25,6,2006,0.580,0.325,maternal sib,3.400,0.500,0.000,NA,NA,0,1,0,0
3,45,25,6,2007,0.321,0.325,maternal sib,3.400,0.250,0.000,NA,NA,1,0,0,0
3,45,25,6,2008,1.370,0.325,maternal sib,3.400,0.250,0.000,NA,NA,0,0,1,0
3,45,25,6,2009,1.110,0.325,maternal sib,3.400,0.600,0.400,0.750,0.712,0,0,0,0
3,45,25,6,2010,1.367,0.325,maternal sib,3.400,0.714,0.571,0.812,0.868,1,0,0,1
3,45,25,6,2011,1.233,0.325,maternal sib,3.400,0.500,0.333,0.830,0.875,0,0,0,1
3,46,31,6,2010,1.542,0.413,maternal sib,5.300,0.143,0.571,0.817,0.868,0,0,0,1
3,47,10,7,2005,1.307,0.306,maternal sib,2.200,1.000,0.500,NA,NA,1,0,0,1
3,47,10,7,2006,3.073,0.306,maternal sib,2.200,1.000,0.750,NA,NA,0,1,0,1
3,47,10,7,2007,1.585,0.306,maternal sib,2.200,1.000,0.750,NA,NA,0,1,0,1
3,47,10,7,2008,2.142,0.306,maternal sib,2.200,1.000,0.750,NA,NA,0,1,0,1
3,47,10,7,2009,3.755,0.306,maternal sib,2.200,1.000,0.800,0.891,0.903,0,1,0,1
3,47,10,7,2010,0.540,0.306,maternal sib,2.200,1.000,0.857,0.929,0.898,0,1,0,1
